sample_id,audio_path,reference,reference_normalized,prediction_raw,prediction_cleaned,prediction_normalized,wer_raw,cer_raw,wer_cleaned,cer_cleaned,wer_normalized,cer_normalized,processing_time,category
1828,D:\SPIRE Internship\IISc_RESPIN_test_hi\D4\42587\IISc_RESPIN_hi_D4_42587_342308_M_AGRI_414536_41210715.wav,किसान खेती के पारंपरिक तरीकों को अपडेट करें,किसान खेती के पारंपरिक तरीकों को अपडेट करें,<s>क<s>ि<s>स<s>ा<s>न<s> <s>ख<s>े<s>त<s>ी<s> <s>क<s>े<s> <s>प<s>ा<s>र<s>ं<s>प<s>र<s>ि<s>क<s> त<s>र<s>ी<s>क<s>ो<s>ं<s> <s>क<s>ो<s> <s>अ<s>प<s>ड<s>े<s>ट<s> <s>क<s>र<s>ें<s> <s>,किसान खेती के पारंपरिक तरीकों को अपडेट करें,किसान खेती के पारंपरिक तरीकों को अपडेट करें,112.5,302.3255814,0.0,0.0,0.0,0.0,0.045939684,A_all_zero
651,D:\SPIRE Internship\IISc_RESPIN_test_hi\D2\40818\IISc_RESPIN_hi_D2_40818_207001_F_AGRI_406448_40261388.wav,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,<s>फ<s>ॉ<s>र<s>े<s>स<s>्ट<s> <s>ग<s>ा<s>र<s>्<s>ड<s>न<s>ि<s>ं<s>ग<s> <s>म<s>े<s>ं<s> <s>ज<s>म<s>ी<s>न<s> <s>उ<s>प<s>ज<s>ा<s>ऊ<s> <s>ब<s>न<s>ा<s> <s>र<s>ह<s>त<s>ा<s> ह<s>ै<s> <s>,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,फॉरेस्ट गार्डनिंग में जमीन उपजाऊ बना रहता है,112.5,302.2727273,0.0,0.0,0.0,0.0,0.050494194,A_all_zero
1014,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\40953\IISc_RESPIN_hi_D3_40953_210430_F_AGRI_412696_40578838.wav,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,<s>म<s>ु<s>झ<s>े<s> <s>च<s>क<s>ो<s>त<s>र<s>ा<s> <s>क<s>ा<s> <s>स<s>्<s>व<s>ा<s>द<s> <s>ज<s>्य<s>ा<s>द<s>ा<s> <s>प<s>स<s>ं<s>द<s> <s>न<s>हीं<s> <s>आ<s>य<s>ा<s> <s>,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,112.5,295.1219512,0.0,0.0,0.0,0.0,0.046500444,A_all_zero
1053,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\40988\IISc_RESPIN_hi_D3_40988_210430_M_AGRI_412696_40571286.wav,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,<s>म<s>ु<s>झ<s>े<s> <s>च<s>क<s>ो<s>त<s>र<s>ा<s> <s>क<s>ा<s> <s>स<s>्<s>वा<s>द<s> ज<s>्या<s>द<s>ा<s> <s>प<s>स<s>ं<s>द<s> <s>न<s>ह<s>ी<s>ं<s> <s>आ<s>य<s>ा<s> <s>,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,मुझे चकोतरा का स्वाद ज्यादा पसंद नहीं आया,112.5,287.804878,0.0,0.0,0.0,0.0,0.059205055,A_all_zero
383,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\42466\IISc_RESPIN_hi_D1_42466_251001_M_AGRI_400070_41149276.wav,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,<s>म<s>व<s>े<s>श<s>ि<s>यो<s>ं<s> क<s>ा<s> <s>प<s>र<s>ि<s>व<s>े<s>श<s> <s>उ<s>न<s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>आ<s>र<s>ा<s>म<s>द<s>ा<s>य<s>क<s> हो<s>न<s>ा<s> च<s>ा<s>ह<s>ि<s>ए<s> <s>,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,मवेशियों का परिवेश उनके लिए आरामदायक होना चाहिए,112.5,282.9787234,0.0,0.0,0.0,0.0,0.046688557,A_all_zero
322,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41672\IISc_RESPIN_hi_D1_41672_249145_F_BANK_402381_40951054.wav,कर से तकनीकी प्रगति की तेजी हुई है,कर से तकनीकी प्रगति की तेजी हुई है,<s>क<s>र<s> <s>स<s>े<s> त<s>क<s>न<s>ी<s>क<s>ी<s> <s>प्र<s>ग<s>त<s>ि<s> क<s>ी<s> त<s>े<s>ज<s>ी<s> <s>ह<s>ु<s>ई<s> ह<s>ै<s> <s>,कर से तकनीकी प्रगति की तेजी हुई है,कर से तकनीकी प्रगति की तेजी हुई है,112.5,267.6470588,0.0,0.0,0.0,0.0,0.037492275,A_all_zero
1081,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\40996\IISc_RESPIN_hi_D3_40996_210430_M_AGRI_412836_40587610.wav,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,<s>भ<s>ा<s>र<s>त<s> <s>ख<s>ा<s>द<s>्य<s>ा<s>न्न<s> म<s>ा<s>म<s>ल<s>े<s> मे<s>ं<s> <s>आ<s>त्म<s>न<s>ि<s>र<s>्<s>भ<s>र<s> हो<s> च<s>ु<s>क<s>ा<s> <s>है<s> <s>,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,112.5,236.9565217,0.0,0.0,0.0,0.0,0.037754297,A_all_zero
1156,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\41322\IISc_RESPIN_hi_D3_41322_210430_M_AGRI_412836_40605258.wav,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,<s>भ<s>ा<s>र<s>त<s> <s>ख<s>ा<s>द<s>्<s>या<s>न<s>्न<s> <s>म<s>ा<s>म<s>ल<s>े<s> में<s> <s>आ<s>त्<s>म<s>न<s>िर<s>्भ<s>र<s> हो<s> च<s>ु<s>क<s>ा<s> ह<s>ै<s> <s>,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,112.5,236.9565217,0.0,0.0,0.0,0.0,0.038586617,A_all_zero
973,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\40206\IISc_RESPIN_hi_D3_40206_210430_M_AGRI_412836_40042017.wav,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,<s>भ<s>ा<s>र<s>त<s> <s>ख<s>ा<s>द<s>्य<s>ा<s>न्न<s> <s>म<s>ा<s>म<s>ल<s>े<s> म<s>ें<s> <s>आ<s>त्म<s>नि<s>र्<s>भ<s>र<s> हो<s> च<s>ु<s>क<s>ा<s> <s>है<s> <s>,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,भारत खाद्यान्न मामले में आत्मनिर्भर हो चुका है,112.5,230.4347826,0.0,0.0,0.0,0.0,0.040277243,A_all_zero
1217,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\41361\IISc_RESPIN_hi_D3_41361_210430_F_BANK_410942_40678183.wav,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,<s>त<s>ु<s>म<s> <s>व<s>्<s>य<s>क<s>्<s>त<s>ि<s>ग<s>त<s> <s>ख<s>ा<s>त<s>ा<s> <s>ख<s>ु<s>ल<s>व<s>ा<s>क<s>र<s> <s>उ<s>स<s>म<s>े<s>ं<s> <s>अ<s>प<s>न<s>े<s> <s>प<s>ै<s>स<s>े<s> <s>ब<s>च<s>ा<s>त<s>े<s> <s>र<s>ह<s>न<s>ा<s> <s>,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,111.1111111,313.2075472,0.0,0.0,0.0,0.0,0.069113493,A_all_zero
1113,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\41010\IISc_RESPIN_hi_D3_41010_210430_F_BANK_410942_40546594.wav,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,<s>त<s>ु<s>म<s> <s>व<s>्य<s>क<s>्<s>त<s>ि<s>ग<s>त<s> <s>ख<s>ा<s>त<s>ा<s> <s>ख<s>ु<s>ल<s>व<s>ा<s>क<s>र<s> <s>उ<s>स<s>म<s>े<s>ं<s> <s>अ<s>प<s>न<s>े<s> <s>प<s>ै<s>स<s>े<s> <s>ब<s>च<s>ा<s>त<s>े<s> <s>र<s>ह<s>न<s>ा<s> <s>,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,तुम व्यक्तिगत खाता खुलवाकर उसमें अपने पैसे बचाते रहना,111.1111111,307.5471698,0.0,0.0,0.0,0.0,0.072802067,A_all_zero
2192,D:\SPIRE Internship\IISc_RESPIN_test_hi\D5\41567\IISc_RESPIN_hi_D5_41567_249175_F_AGRI_418710_40721809.wav,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,<s>ह<s>म<s>ें<s> <s>म<s>ा<s>ध<s>्<s>य<s>म<s>ि<s>क<s> ज<s>ु<s>त<s>ा<s>ई<s> <s>क<s>े<s> <s>ल<s>ि<s>ए<s> <s>क<s>ल<s>्ट<s>ी<s>व<s>े<s>ट<s>र<s> <s>क<s>ी<s> <s>आ<s>व<s>श<s>्<s>य<s>क<s>त<s>ा<s> <s>ह<s>ै<s> <s>,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,111.1111111,296.0784314,0.0,0.0,0.0,0.0,0.062520266,A_all_zero
1302,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\42531\IISc_RESPIN_hi_D3_42531_210430_F_AGRI_411526_41166690.wav,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,<s>ल<s>ौ<s>क<s>ी<s> <s>क<s>ई<s> <s>त<s>र<s>ह<s> <s>क<s>े<s> <s>स<s>्<s>व<s>ा<s>स<s>्थ<s>्य<s> <s>ल<s>ा<s>भ<s> <s>प<s>्<s>र<s>द<s>ा<s>न<s> <s>क<s>र<s>त<s>ी<s> ह<s>ै<s> <s>,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,111.1111111,295.3488372,0.0,0.0,0.0,0.0,0.050971508,A_all_zero
2224,D:\SPIRE Internship\IISc_RESPIN_test_hi\D5\41837\IISc_RESPIN_hi_D5_41837_249199_F_AGRI_418710_40890958.wav,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,<s>ह<s>म<s>ें<s> <s>म<s>ा<s>ध<s>्<s>य<s>म<s>ि<s>क<s> <s>ज<s>ु<s>त<s>ा<s>ई<s> <s>के<s> <s>ल<s>ि<s>ए<s> <s>क<s>ल<s>्ट<s>ी<s>व<s>े<s>ट<s>र<s> <s>क<s>ी<s> <s>आ<s>व<s>श<s>्य<s>क<s>त<s>ा<s> <s>ह<s>ै<s> <s>,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,हमें माध्यमिक जुताई के लिए कल्टीवेटर की आवश्यकता है,111.1111111,290.1960784,0.0,0.0,0.0,0.0,0.042063236,A_all_zero
240,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41631\IISc_RESPIN_hi_D1_41631_251001_M_AGRI_400768_40959905.wav,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,<s>ज<s>व<s>ा<s>र<s>े<s> <s>ब<s>ह<s>ु<s>त<s> <s>ही<s> <s>अ<s>च<s>्<s>छ<s>ा<s> <s>ग<s>्<s>ल<s>ू<s>ट<s>े<s>न<s> <s>फ<s>्<s>री<s> <s>आ<s>ट<s>ा<s> ह<s>ो<s>त<s>ा<s> ह<s>ै<s> <s>,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,जवारे बहुत ही अच्छा ग्लूटेन फ्री आटा होता है,111.1111111,288.6363636,0.0,0.0,0.0,0.0,0.046633005,A_all_zero
942,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\40184\IISc_RESPIN_hi_D3_40184_210430_M_AGRI_411082_40033365.wav,मैंने थाईलैंड में दोपहिया ट्रैक्टर का इस्तेमाल देखा है,मैंने थाईलैंड में दोपहिया ट्रैक्टर का इस्तेमाल देखा है,<s>म<s>ै<s>ं<s>न<s>े<s> <s>थ<s>ा<s>ई<s>ल<s>ै<s>ं<s>ड<s> <s>म<s>े<s>ं<s> <s>द<s>ो<s>प<s>ह<s>ि<s>य<s>ा<s> <s>ट<s>्<s>रै<s>क<s>्<s>ट<s>र<s> क<s>ा<s> <s>इस<s>्त<s>े<s>म<s>ा<s>ल<s> द<s>े<s>ख<s>ा<s> <s>है<s> <s>,मैंने थाईलैंड में दोपहिया ट्रैक्टर का इस्तेमाल देखा है,मैंने थाईलैंड में दोपहिया ट्रैक्टर का इस्तेमाल देखा है,111.1111111,279.6296296,0.0,0.0,0.0,0.0,0.061013222,A_all_zero
360,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\42045\IISc_RESPIN_hi_D1_42045_251001_F_BANK_401357_40958459.wav,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,<s>स<s>ो<s>ह<s>े<s>ल<s> अ<s>प<s>न<s>ी<s> <s>बे<s>ट<s>ी<s> <s>क<s>ो<s> व<s>ि<s>त<s>्<s>त<s> व<s>ि<s>श<s>्<s>ल<s>े<s>ष<s>क<s> ब<s>न<s>ा<s>न<s>ा<s> च<s>ा<s>ह<s>त<s>ा<s> <s>ह<s>ै<s> <s>,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,सोहेल अपनी बेटी को वित्त विश्लेषक बनाना चाहता है,111.1111111,277.0833333,0.0,0.0,0.0,0.0,0.044274092,A_all_zero
77,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40077\IISc_RESPIN_hi_D1_40077_247121_F_AGRI_402067_40059234.wav,लेयर मुर्गियां दो या तीन प्रकार की होती है,लेयर मुर्गियां दो या तीन प्रकार की होती है,<s>ल<s>े<s>य<s>र<s> <s>म<s>ु<s>र्<s>ग<s>ि<s>य<s>ां<s> <s>द<s>ो<s> <s>य<s>ा<s> <s>त<s>ी<s>न<s> प्र<s>क<s>ा<s>र<s> क<s>ी<s> <s>ह<s>ो<s>त<s>ी<s> <s>ह<s>ै<s> <s>,लेयर मुर्गियां दो या तीन प्रकार की होती है,लेयर मुर्गियां दो या तीन प्रकार की होती है,111.1111111,273.8095238,0.0,0.0,0.0,0.0,0.043129683,A_all_zero
1158,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\41322\IISc_RESPIN_hi_D3_41322_210430_M_AGRI_411526_40605513.wav,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,<s>ल<s>ौ<s>क<s>ी<s> क<s>ई<s> त<s>र<s>ह<s> क<s>े<s> <s>स्वा<s>स्थ<s>्य<s> <s>ल<s>ा<s>भ<s> प्र<s>द<s>ा<s>न<s> क<s>र<s>त<s>ी<s> ह<s>ै<s> <s>,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,लौकी कई तरह के स्वास्थ्य लाभ प्रदान करती है,111.1111111,218.6046512,0.0,0.0,0.0,0.0,0.037196398,A_all_zero
2100,D:\SPIRE Internship\IISc_RESPIN_test_hi\D5\41440\IISc_RESPIN_hi_D5_41440_249175_M_AGRI_420537_40612611.wav,सहजन के पत्ते का जूस मोटापा को कम करता है,सहजन के पत्ते का जूस मोटापा को कम करता है,<s>स<s>ह<s>ज<s>न<s> <s>क<s>े<s> <s>प<s>त<s>्<s>त<s>े<s> <s>क<s>ा<s> <s>ज<s>ू<s>स<s> <s>म<s>ो<s>ट<s>ा<s>प<s>ा<s> <s>क<s>ो<s> <s>क<s>म<s> <s>क<s>र<s>त<s>ा<s> <s>ह<s>ै<s> <s>,सहजन के पत्ते का जूस मोटापा को कम करता है,सहजन के पत्ते का जूस मोटापा को कम करता है,110.0,317.0731707,0.0,0.0,0.0,0.0,0.04333353,A_all_zero
1178,D:\SPIRE Internship\IISc_RESPIN_test_hi\D3\41339\IISc_RESPIN_hi_D3_41339_210430_F_BANK_410515_40705533.wav,ऋण आहार के सभी चरणों को अच्छे से समझ लेना,ऋण आहार के सभी चरणों को अच्छे से समझ लेना,<s>ऋ<s>ण<s> <s>आ<s>ह<s>ा<s>र<s> <s>के<s> <s>स<s>भ<s>ी<s> <s>च<s>र<s>ण<s>ो<s>ं<s> <s>क<s>ो<s> <s>अ<s>च<s>्<s>छ<s>े<s> <s>स<s>े<s> <s>स<s>म<s>झ<s> <s>ल<s>े<s>न<s>ा<s> <s>,ऋण आहार के सभी चरणों को अच्छे से समझ लेना,ऋण आहार के सभी चरणों को अच्छे से समझ लेना,110.0,309.7560976,0.0,0.0,0.0,0.0,0.054629564,A_all_zero
292,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\41640\IISc_RESPIN_hi_D1_41640_251001_F_AGRI_401185_40878064.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,<s>र<s>ो<s>ह<s>ि<s>त<s> <s>न<s>े<s> <s>क<s>ह<s>ा<s> <s>क<s>ि<s> <s>उ<s>स<s>े<s> <s>अ<s>द<s>र<s>क<s> <s>ख<s>ा<s>न<s>ा<s> <s>प<s>स<s>ं<s>द<s> <s>न<s>ही<s>ं<s> <s>ह<s>ै<s> <s>,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,110.0,309.5238095,0.0,0.0,0.0,0.0,0.045387983,A_all_zero
111,D:\SPIRE Internship\IISc_RESPIN_test_hi\D1\40637\IISc_RESPIN_hi_D1_40637_251001_M_AGRI_401185_40415594.wav,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,<s>र<s>ो<s>ह<s>ि<s>त<s> <s>न<s>े<s> <s>क<s>ह<s>ा<s> क<s>ि<s> <s>उ<s>स<s>े<s> <s>अ<s>द<s>र<s>क<s> <s>ख<s>ा<s>न<s>ा<s> <s>प<s>स<s>ं<s>द<s> <s>न<s>ही<s>ं<s> <s>ह<s>ै<s> <s>,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,रोहित ने कहा कि उसे अदरक खाना पसंद नहीं है,110.0,302.3809524,0.0,0.0,0.0,0.0,0.041998863,A_all_zero
